date,amfi_code,scheme_name,nav
2020-11-29,125497.0,SBI Small Cap Fund - Direct Plan - Growth,73.1105
2020-11-30,125497.0,SBI Small Cap Fund - Direct Plan - Growth,73.1105
2020-12-01,125497.0,SBI Small Cap Fund - Direct Plan - Growth,73.9151
2020-12-02,125497.0,SBI Small Cap Fund - Direct Plan - Growth,74.0961
2020-12-03,125497.0,SBI Small Cap Fund - Direct Plan - Growth,74.5188
2020-12-04,125497.0,SBI Small Cap Fund - Direct Plan - Growth,75.2531
2020-12-05,125497.0,SBI Small Cap Fund - Direct Plan - Growth,75.2531
2020-12-06,125497.0,SBI Small Cap Fund - Direct Plan - Growth,75.2531
2020-12-07,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.2757
2020-12-08,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.0347
2020-12-09,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.3633
2020-12-10,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.0258
2020-12-11,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.1897
2020-12-12,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.1897
2020-12-13,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.1897
2020-12-14,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.7302
2020-12-15,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.8527
2020-12-16,125497.0,SBI Small Cap Fund - Direct Plan - Growth,77.1352
2020-12-17,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.9464
2020-12-18,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.6351
2020-12-19,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.6351
2020-12-20,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.6351
2020-12-21,125497.0,SBI Small Cap Fund - Direct Plan - Growth,74.3431
2020-12-22,125497.0,SBI Small Cap Fund - Direct Plan - Growth,74.4438
2020-12-23,125497.0,SBI Small Cap Fund - Direct Plan - Growth,75.995
2020-12-24,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.2652
2020-12-25,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.2652
2020-12-26,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.2652
2020-12-27,125497.0,SBI Small Cap Fund - Direct Plan - Growth,76.2652
2020-12-28,125497.0,SBI Small Cap Fund - Direct Plan - Growth,77.201
2020-12-29,125497.0,SBI Small Cap Fund - Direct Plan - Growth,77.9378
2020-12-30,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.1608
2020-12-31,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.1396
2021-01-01,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.961
2021-01-02,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.961
2021-01-03,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.961
2021-01-04,125497.0,SBI Small Cap Fund - Direct Plan - Growth,79.9178
2021-01-05,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.6897
2021-01-06,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.8795
2021-01-07,125497.0,SBI Small Cap Fund - Direct Plan - Growth,81.8689
2021-01-08,125497.0,SBI Small Cap Fund - Direct Plan - Growth,82.4047
2021-01-09,125497.0,SBI Small Cap Fund - Direct Plan - Growth,82.4047
2021-01-10,125497.0,SBI Small Cap Fund - Direct Plan - Growth,82.4047
2021-01-11,125497.0,SBI Small Cap Fund - Direct Plan - Growth,82.0949
2021-01-12,125497.0,SBI Small Cap Fund - Direct Plan - Growth,81.9853
2021-01-13,125497.0,SBI Small Cap Fund - Direct Plan - Growth,81.6065
2021-01-14,125497.0,SBI Small Cap Fund - Direct Plan - Growth,81.0944
2021-01-15,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.5302
2021-01-16,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.5302
2021-01-17,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.5302
2021-01-18,125497.0,SBI Small Cap Fund - Direct Plan - Growth,79.4401
2021-01-19,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.6173
2021-01-20,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.6259
2021-01-21,125497.0,SBI Small Cap Fund - Direct Plan - Growth,80.5094
2021-01-22,125497.0,SBI Small Cap Fund - Direct Plan - Growth,79.6084
2021-01-23,125497.0,SBI Small Cap Fund - Direct Plan - Growth,79.6084
2021-01-24,125497.0,SBI Small Cap Fund - Direct Plan - Growth,79.6084
2021-01-25,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.9867
2021-01-26,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.9867
2021-01-27,125497.0,SBI Small Cap Fund - Direct Plan - Growth,78.2494
2021-01-28,125497.0,SBI Small Cap Fund - Direct Plan - Growth,77.7009
