date,amfi_code,scheme_name,nav
2024-11-05,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5540.8795
2024-11-06,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5541.99
2024-11-07,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5543.2316
2024-11-08,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5544.3048
2024-11-09,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5544.3048
2024-11-10,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5544.3048
2024-11-11,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5547.5341
2024-11-12,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5548.5622
2024-11-13,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5549.7643
2024-11-14,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5550.9097
2024-11-15,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5550.9097
2024-11-16,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5550.9097
2024-11-17,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5550.9097
2024-11-18,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5555.0635
2024-11-19,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5556.1305
2024-11-20,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5556.1305
2024-11-21,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5557.9843
2024-11-22,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5559.0282
2024-11-23,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5559.0282
2024-11-24,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5559.0282
2024-11-25,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5562.2563
2024-11-26,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5563.3251
2024-11-27,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5564.3652
2024-11-28,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5565.3431
2024-11-29,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5566.4874
2024-11-30,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5566.4874
2024-12-01,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5566.4874
2024-12-02,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5569.9305
2024-12-03,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5570.896
2024-12-04,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5572.0927
2024-12-05,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5573.6012
2024-12-06,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5575.0097
2024-12-07,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5575.0097
2024-12-08,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5575.0097
2024-12-09,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5578.25
2024-12-10,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5579.1651
2024-12-11,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5580.1419
2024-12-12,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5580.6696
2024-12-13,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5580.9232
2024-12-14,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5580.9232
2024-12-15,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5580.9232
2024-12-16,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5584.4671
2024-12-17,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5585.572
2024-12-18,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5586.4179
2024-12-19,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5587.01
2024-12-20,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5588.072
2024-12-21,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5588.072
2024-12-22,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5588.072
2024-12-23,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5590.4471
2024-12-24,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5590.9435
2024-12-25,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5590.9435
2024-12-26,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5592.9244
2024-12-27,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5594.0951
2024-12-28,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5594.0951
2024-12-29,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5594.0951
2024-12-30,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5597.3384
2024-12-31,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5600.5771
2025-01-01,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5602.0594
